,ABBV,ACAD,ALGN,AMGN,AZN,BIIB,BNTX,CRSP,DRIO,DXCM,ENTA,EXAS,GILD,IBB,IHF,IHI,ILMN,INCY,JNJ,LLY,MRK,MRNA,NVAX,PFE,RARE,REGN,RGEN,RXL,SDGR,SRPT,TMDX,TMO,UNH,VEEV,VHT,VRTX,XBI,XLV,XRAY
IBB,0.9728588264217544,0.3977667847289946,0.9617755163487108,0.843511864509453,0.901562225366838,0.7043691514140029,0.631835012245595,0.6735481444473427,0.7482861788328683,0.4077412800801621,0.7874322652699446,0.24759674795329717,0.9910231452139844,1.0,0.687996144859428,0.4715313609418589,0.6712876362603318,0.4712356606623328,0.389907179954638,0.4479399804082258,0.39851022134409775,0.8632949195360587,0.7551421190782157,0.44380121472186723,0.7234056829206443,0.4270402032105928,0.7845007576364693,0.7409833885900654,0.753796417402739,0.32365966061146784,0.44412867576329207,0.668139699352747,0.3358233917176236,0.32614704993952204,0.6058327124519093,0.4189617638282031,0.4874312838391139,0.5621727490726688,0.6040872737171545
IHF,0.9715966361397619,0.005815515318099265,0.9033653274904296,0.9137801414788528,0.9373470677750446,0.6682467377272157,0.3477255841677354,0.5564099245340456,0.6023865866809223,0.2994192293822404,0.8064276517799611,0.40940658528463825,0.99193649779408,0.687996144859428,1.0,0.41745335219496515,0.2655666350774407,0.03818849418467242,0.6367904803114274,0.3336595887409246,0.23548171912124533,0.30886150852213945,0.29272212381541896,0.35052797784950884,0.23889395142700043,0.2927802990536835,0.3535539069411182,0.08193126997184452,0.17210343577190423,0.3110434187822741,0.3096465156190328,0.006122036921196983,0.3105798252669489,0.28898686373507126,0.7266033644670515,0.33860831659256985,0.2601616161475634,0.5538288301049054,0.3054794095216935
IHI,0.8685266664909721,0.2107741585009788,0.9549843023594571,0.8053520029756591,0.8372551469340175,0.42759975638972125,0.458550650976433,0.508567845544789,0.6720863487101828,0.4016403786993659,0.7521902942642521,0.5982020426547421,0.9583063097570973,0.4715313609418589,0.41745335219496515,1.0,0.23310257486576758,0.19470618322371402,0.3806947964907934,0.16996997577621503,0.284585363347441,0.6233955511080528,0.5423145222434145,0.2912921713208637,0.45855144803937514,0.4137866215869537,0.6750127837634711,0.6333947099406636,0.18239511325693558,0.12669414026068226,0.3615103403477814,0.629462578460031,0.5563412582163239,0.4835853757920705,0.5208452932597635,0.33385783654145046,0.5840366149316718,0.5067474830250476,0.4080166073055132
ILMN,0.4930304475579202,0.3759146798095171,0.3005704055877252,0.08355424075124807,0.19372815962979523,0.24162178375717713,0.2545650570316324,0.12987634073533522,0.013075106006728876,0.15573726742710764,0.1275355257258946,0.428626670613961,0.9189640780928414,0.6712876362603318,0.2655666350774407,0.23310257486576758,1.0,0.9416161957238758,0.6596615600189847,0.3802194595301362,0.4002372225219421,0.5254839944096628,0.10868328865345483,0.827204147325896,0.18017458278771237,0.6764732549305301,0.55047134756372,0.8111060915923971,0.15854709495738623,0.905207673623028,0.2910834848899173,0.8661296277018304,0.8755110902410885,0.8141348064965646,0.4895992942371906,0.05948335612390501,0.9475221879579592,0.33712058811602896,0.08799067638109759
INCY,0.9757232791601583,0.22381831904231864,0.8830056910970991,0.7768508263906339,0.9054046310117259,0.7739229740898583,0.38727657053035464,0.5509303224067994,0.6546944230362419,0.12459013029068078,0.8697812339674624,0.4392661823961745,0.9915603086222162,0.4712356606623328,0.03818849418467242,0.19470618322371402,0.9416161957238758,1.0,0.6608335453238163,0.7068317736088947,0.22647171497350838,0.5758580291967119,0.5919489107717575,0.624467079357798,0.7002552650507399,0.15617196430542168,0.5690928405743314,0.15123108705666805,0.6267848379119838,0.6048968774285439,0.6623526131994681,0.2983073073021406,0.03670901876720778,0.5571644389228981,0.2827020225679016,0.48907087847622577,0.48735811465456236,0.23234857686288196,0.7029283491221929
JNJ,0.6898761316562703,0.3240339215067036,0.6879354127730348,0.6027321054115653,0.36670702547202605,0.3675511061563024,0.6338009622889403,0.3623732626845465,0.3962809069636929,0.13923989992755736,0.7182445576203254,0.5767497707275565,0.7053909580650786,0.389907179954638,0.6367904803114274,0.3806947964907934,0.6596615600189847,0.6608335453238163,1.0,0.6673294215735497,0.9570360470689051,0.905065506944061,0.8225044340958634,0.9730420434648002,0.6299620422827,0.9663374948771581,0.9186755006125898,0.9841822947518777,0.5843384977076768,0.15834411197383963,0.6410155151772878,0.9461174345343268,0.9833597544494445,0.917276077662812,0.8413011105532622,0.9038227219728823,0.8841303573521782,0.8127672918827082,0.5823627233942095
LLY,0.2705898414052802,0.4787037239135735,0.5206296172110659,0.00017894804053802466,0.10717801386782605,0.2832729097157844,0.26623165473390686,0.32555063082449587,0.12021787709848658,0.11405298881630832,0.1362631212776273,0.5835733752132055,0.7112952841827618,0.4479399804082258,0.3336595887409246,0.16996997577621503,0.3802194595301362,0.7068317736088947,0.6673294215735497,1.0,0.9503692897509007,0.7468991929942236,0.6271145680412156,0.8109799956183796,0.7099367136582602,0.9784737284606496,0.8465674357590427,0.9309599911138086,0.45773746103323715,0.9535658333375457,0.10081090647761509,0.9792481485351668,0.9910972868082704,0.9798709565491479,0.542530263065001,0.1429060771937969,0.9818105337266431,0.5255246088084404,0.49669728690694964
MRK,0.9553673579845124,0.29002957198592827,0.7114652825196642,0.7688677266965201,0.8032624215154198,0.6134223664085914,0.28837125350446835,0.2607936083668272,0.1320231382157429,0.25660537567011144,0.5608875282278811,0.3515838102064952,0.9848833278224316,0.39851022134409775,0.23548171912124533,0.284585363347441,0.4002372225219421,0.22647171497350838,0.9570360470689051,0.9503692897509007,1.0,0.715732477698804,0.1771688496657276,0.7153480221850541,0.39640116155751515,0.07692945163578019,0.7379243460443037,0.7732018461716998,0.2624357677277279,0.8290207150804092,0.3885829152304547,0.7043680276798792,0.6887062253306473,0.391937232206938,0.7749420933665732,0.5024809191442475,0.6295409546798176,0.7365563317574367,0.6054324038998253
MRNA,0.7819302414267852,0.4312075130378182,0.1308788749192219,0.3380261096562164,0.6987453318341819,0.17496581776430165,0.14956479040401183,0.4214845439657456,0.32655263259751893,0.03574867583278705,0.3313057448667534,0.5440704216366934,0.8599494579182749,0.8632949195360587,0.30886150852213945,0.6233955511080528,0.5254839944096628,0.5758580291967119,0.905065506944061,0.7468991929942236,0.715732477698804,1.0,0.5815507339040029,0.5126134122062627,0.5793645890524494,0.6170085346666807,0.013199939724457141,0.8788520408895409,0.5207656654898688,0.6462907113145482,0.31759275597314157,0.8028736336255267,0.6547921818579978,0.7268912254410274,0.6915257457319988,0.12215249473577983,0.764886971361557,0.5933393508613405,0.11164281220220407
NVAX,0.5037913644604884,0.27392222247050146,0.2511976589421,0.34959063798104834,0.33864321593747454,0.3514096877388623,0.3164078754509446,0.0059519171953108345,0.0017576178127370612,0.23350615690639032,0.4466036562284357,0.13446272968510303,0.8526059354491575,0.7551421190782157,0.29272212381541896,0.5423145222434145,0.10868328865345483,0.5919489107717575,0.8225044340958634,0.6271145680412156,0.1771688496657276,0.5815507339040029,1.0,0.8104761252216051,0.0181348423665105,0.1882625575806438,0.3319520059559324,0.8093017442134447,0.22033834443399025,0.8436503759234324,0.36992445280380026,0.825373103378207,0.7037765639122373,0.6312655863246497,0.6207045585692441,0.033957102413359024,0.2824497452276178,0.458183311632684,0.14342425437752931
PFE,0.9072862864775268,0.3684204412231125,0.8330373887441878,0.3496298097603639,0.7924665565420683,0.5048795106921826,0.44515827350242676,0.4266756476942162,0.5811641161540706,0.15269586139044072,0.1515329552398122,0.587179270260502,0.9170102050850999,0.44380121472186723,0.35052797784950884,0.2912921713208637,0.827204147325896,0.624467079357798,0.9730420434648002,0.8109799956183796,0.7153480221850541,0.5126134122062627,0.8104761252216051,1.0,0.7435100214519199,0.6755363923612259,0.4474880965945123,0.8825108755366908,0.7376091028252185,0.73844892096672,0.3679485325621294,0.7853932413826731,0.7571978912107948,0.6783284918815995,0.695455622248335,0.29471058482785195,0.72101114236106,0.6770587480849151,0.557934065644289
RARE,0.5358933160164386,0.25787318304597884,0.39050102511448437,0.39722042818353803,0.2570037936491528,0.3198951107142726,0.38298925268671596,0.001082043753667096,0.0009517597517262015,0.22281688213047596,0.49900493457742057,0.043877061295617886,0.8498278243691018,0.7234056829206443,0.23889395142700043,0.45855144803937514,0.18017458278771237,0.7002552650507399,0.6299620422827,0.7099367136582602,0.39640116155751515,0.5793645890524494,0.0181348423665105,0.7435100214519199,1.0,0.49096026817172655,0.5615115626992225,0.6204031854119196,0.10473093486391216,0.7288946675703201,0.2961752064592583,0.6864669053224445,0.6127737403321112,0.5575923856081844,0.45790463835212786,0.20908836437508527,0.829592511551682,0.2581033483684968,0.1435534475142547
REGN,0.9880877460031142,0.4372209750575961,0.7552508436068397,0.8850251387308732,0.93651794860881,0.6665680048076876,0.32194352131737897,0.3088933847241721,0.3656730096527504,0.27526890060377285,0.6477839489833759,0.40456676451368506,0.9917347067749782,0.4270402032105928,0.2927802990536835,0.4137866215869537,0.6764732549305301,0.15617196430542168,0.9663374948771581,0.9784737284606496,0.07692945163578019,0.6170085346666807,0.1882625575806438,0.6755363923612259,0.49096026817172655,1.0,0.4540491035758124,0.5639306801905859,0.16863932534801418,0.38301739714532834,0.4658169528996817,0.5639918610042272,0.23846545101324368,0.15967022097038347,0.74461138277228,0.4891766209139368,0.3270262448533474,0.703544239203679,0.5459954573862907
RGEN,0.9088129605599929,0.41196091148917935,0.3217721250885903,0.548767382916717,0.7046034336961595,0.31084781979449816,0.03272530096679764,0.4046006172264405,0.4481396383546815,0.14261900560793583,0.47935775900331346,0.4672227762419746,0.8600558631526873,0.7845007576364693,0.3535539069411182,0.6750127837634711,0.55047134756372,0.5690928405743314,0.9186755006125898,0.8465674357590427,0.7379243460443037,0.013199939724457141,0.3319520059559324,0.4474880965945123,0.5615115626992225,0.4540491035758124,1.0,0.2435567678698246,0.14639476532713147,0.14203109777719664,0.08224526381286756,0.36889983517799085,0.15772706047144608,0.20504517590232652,0.20482802200593564,0.016381335624652178,0.1379939196040505,0.1586679971991629,0.018163465381336195
RXL,0.9105698455449427,0.013600284639887082,0.9227074572120508,0.8606056934826989,0.8717197723898962,0.5506442314223794,0.5116575788009797,0.3426819905411489,0.5352014004972142,0.3853363845672287,0.7649253462054891,0.4613190633536175,0.99033657465764,0.7409833885900654,0.08193126997184452,0.6333947099406636,0.8111060915923971,0.15123108705666805,0.9841822947518777,0.9309599911138086,0.7732018461716998,0.8788520408895409,0.8093017442134447,0.8825108755366908,0.6204031854119196,0.5639306801905859,0.2435567678698246,1.0,0.16769838841961837,0.3107653134855638,0.22975443861932693,0.029961152964591616,0.4323746698760501,0.417190253963884,0.6684812025039529,0.3485939070897055,0.37035554729771347,0.47284590478126914,0.32208544899016345
SDGR,0.18749410958852886,0.1439346465053315,0.5173827577258449,0.3897365708230068,0.08531026181321877,0.29282501909814135,0.380390689900427,0.030477096276609057,0.005434412187324352,0.22325612167408215,0.5330086547578167,0.04269650810421171,0.8433574667867567,0.753796417402739,0.17210343577190423,0.18239511325693558,0.15854709495738623,0.6267848379119838,0.5843384977076768,0.45773746103323715,0.2624357677277279,0.5207656654898688,0.22033834443399025,0.7376091028252185,0.10473093486391216,0.16863932534801418,0.14639476532713147,0.16769838841961837,1.0,0.6752535653720594,0.1649101136997846,0.37496655619418556,0.3907795790489552,0.591613674198616,0.15251247277715746,0.16152229151748282,0.7827741168779749,0.06790425164530671,0.06568510512121914
SRPT,0.748086734442071,0.44947438512050547,0.8611711989064754,0.7298122386144266,0.7278636955954016,0.3507162633620254,0.2865714851299116,0.433781313077671,0.6687301689892139,0.14721989325638835,0.7608473372797042,0.6251350548810228,0.7463239798463778,0.32365966061146784,0.3110434187822741,0.12669414026068226,0.905207673623028,0.6048968774285439,0.15834411197383963,0.9535658333375457,0.8290207150804092,0.6462907113145482,0.8436503759234324,0.73844892096672,0.7288946675703201,0.38301739714532834,0.14203109777719664,0.3107653134855638,0.6752535653720594,1.0,0.642691817911513,0.7352033323287915,0.6433207407541184,0.5374313221313256,0.49435226286871475,0.7225368495125157,0.7523196890238976,0.5610351315712546,0.6812842309101301
TMDX,0.269706427386847,0.3689580762455963,0.5062715421441832,0.005478374533616013,0.008876732384880936,0.23186971411669255,0.26941589171668806,0.33539086737492246,0.14200565144793903,0.14534465138140873,0.062805614206099,0.5149421080354248,0.7434066056541506,0.44412867576329207,0.3096465156190328,0.3615103403477814,0.2910834848899173,0.6623526131994681,0.6410155151772878,0.10081090647761509,0.3885829152304547,0.31759275597314157,0.36992445280380026,0.3679485325621294,0.2961752064592583,0.4658169528996817,0.08224526381286756,0.22975443861932693,0.1649101136997846,0.642691817911513,1.0,0.8701406351539704,0.8520346237577662,0.8805597279676542,0.33903332455550217,0.03924894380805112,0.8780557057174116,0.30507972225751623,0.34032088121785464
TMO,0.9583265411865389,0.13011793517421133,0.9162197145115389,0.8698705231445965,0.8972179222713598,0.6821669391493248,0.43132521635371734,0.39560642511860233,0.6061845982067487,0.3518835992659485,0.8032528759188735,0.5027763986314255,0.9916784351633359,0.668139699352747,0.006122036921196983,0.629462578460031,0.8661296277018304,0.2983073073021406,0.9461174345343268,0.9792481485351668,0.7043680276798792,0.8028736336255267,0.825373103378207,0.7853932413826731,0.6864669053224445,0.5639918610042272,0.36889983517799085,0.029961152964591616,0.37496655619418556,0.7352033323287915,0.8701406351539704,1.0,0.11903848946842488,0.198033551303828,0.38083431020158676,0.2063098691861217,0.18368345714335876,0.2333078758508621,0.18954132080929703
UNH,0.9939041041025078,0.09209066190503085,0.8628518173062867,0.9529460606390401,0.9497139349670267,0.7344031192302047,0.4497930495565685,0.3866828184800119,0.5584471006228678,0.24037940703145072,0.8294055403382703,0.294312896113475,0.9924883696014555,0.3358233917176236,0.3105798252669489,0.5563412582163239,0.8755110902410885,0.03670901876720778,0.9833597544494445,0.9910972868082704,0.6887062253306473,0.6547921818579978,0.7037765639122373,0.7571978912107948,0.6127737403321112,0.23846545101324368,0.15772706047144608,0.4323746698760501,0.3907795790489552,0.6433207407541184,0.8520346237577662,0.11903848946842488,1.0,0.1479566292268713,0.8844147887935438,0.6763139129756892,0.1866816135994661,0.873967090205586,0.6474471099970663
VEEV,0.9643900432160496,0.30213522478189103,0.7847017645003046,0.8151901681541349,0.8649991902829341,0.6568229480872827,0.5247017517509887,0.21522957848002133,0.45561881263806997,0.2680409904510291,0.7491518619518106,0.1685968781284829,0.9923365957708904,0.32614704993952204,0.28898686373507126,0.4835853757920705,0.8141348064965646,0.5571644389228981,0.917276077662812,0.9798709565491479,0.391937232206938,0.7268912254410274,0.6312655863246497,0.6783284918815995,0.5575923856081844,0.15967022097038347,0.20504517590232652,0.417190253963884,0.591613674198616,0.5374313221313256,0.8805597279676542,0.198033551303828,0.1479566292268713,1.0,0.3440909672529988,0.2073604585390577,0.04850276459213757,0.2741347819389271,0.2185978464884784
VHT,0.5376343326099406,0.09244939545510145,0.7910620159231905,0.4541647630146451,0.40411632904736694,0.34294709985474603,0.6232507670180433,0.3084954685646307,0.2762172972357227,0.2768219071418294,0.5010952366906241,0.42620173193636146,0.9372866947738607,0.6058327124519093,0.7266033644670515,0.5208452932597635,0.4895992942371906,0.2827020225679016,0.8413011105532622,0.542530263065001,0.7749420933665732,0.6915257457319988,0.6207045585692441,0.695455622248335,0.45790463835212786,0.74461138277228,0.20482802200593564,0.6684812025039529,0.15251247277715746,0.49435226286871475,0.33903332455550217,0.38083431020158676,0.8844147887935438,0.3440909672529988,1.0,0.49870018323644943,0.7066559416986835,0.5576408293350491,0.40889067117410616
VRTX,0.5153944496577841,0.357367248423239,0.26803831658950916,0.07710085138856082,0.3541873469235457,0.22748856424760117,0.12829118315017513,0.04881790157481269,0.06960937348422817,0.09714962171201547,0.04660185103265664,0.3974698790204925,0.8762674860901378,0.4189617638282031,0.33860831659256985,0.33385783654145046,0.05948335612390501,0.48907087847622577,0.9038227219728823,0.1429060771937969,0.5024809191442475,0.12215249473577983,0.033957102413359024,0.29471058482785195,0.20908836437508527,0.4891766209139368,0.016381335624652178,0.3485939070897055,0.16152229151748282,0.7225368495125157,0.03924894380805112,0.2063098691861217,0.6763139129756892,0.2073604585390577,0.49870018323644943,1.0,0.8501222353628479,0.7114030299555956,0.08074009834781887
XBI,0.955193867926824,0.42301151854914865,0.9077561841150008,0.7986791854070339,0.8332426008366383,0.5786552604695228,0.4258078021464145,0.12209300921329796,0.43596086299640135,0.2750070981040242,0.7960267415393738,0.02631621036612823,0.9917692884185633,0.4874312838391139,0.2601616161475634,0.5840366149316718,0.9475221879579592,0.48735811465456236,0.8841303573521782,0.9818105337266431,0.6295409546798176,0.764886971361557,0.2824497452276178,0.72101114236106,0.829592511551682,0.3270262448533474,0.1379939196040505,0.37035554729771347,0.7827741168779749,0.7523196890238976,0.8780557057174116,0.18368345714335876,0.1866816135994661,0.04850276459213757,0.7066559416986835,0.8501222353628479,1.0,0.6338754912643842,0.8095292520959755
XLV,0.5516776439347453,0.08802863144635092,0.6976223580418092,0.39130269098560755,0.30470490015546203,0.34001412825445176,0.5273035428139639,0.18780775007550332,0.15625160522716453,0.24432591149887922,0.48874632482525565,0.34808161972531393,0.9506870219436833,0.5621727490726688,0.5538288301049054,0.5067474830250476,0.33712058811602896,0.23234857686288196,0.8127672918827082,0.5255246088084404,0.7365563317574367,0.5933393508613405,0.458183311632684,0.6770587480849151,0.2581033483684968,0.703544239203679,0.1586679971991629,0.47284590478126914,0.06790425164530671,0.5610351315712546,0.30507972225751623,0.2333078758508621,0.873967090205586,0.2741347819389271,0.5576408293350491,0.7114030299555956,0.6338754912643842,1.0,0.39724831505813935
XRAY,0.29895915337410944,0.5123927915486025,0.1072454136517948,0.05185712139171993,0.11377709585970691,0.1238139648789311,0.18611081285644948,0.1256664018389636,0.014593287589614241,0.047380847796795154,0.2357293310458632,0.8317698384024197,0.5260535445531704,0.6040872737171545,0.3054794095216935,0.4080166073055132,0.08799067638109759,0.7029283491221929,0.5823627233942095,0.49669728690694964,0.6054324038998253,0.11164281220220407,0.14342425437752931,0.557934065644289,0.1435534475142547,0.5459954573862907,0.018163465381336195,0.32208544899016345,0.06568510512121914,0.6812842309101301,0.34032088121785464,0.18954132080929703,0.6474471099970663,0.2185978464884784,0.40889067117410616,0.08074009834781887,0.8095292520959755,0.39724831505813935,1.0
